prompt_id,model,label,SAME,iTME
7b7d4a38-3eb3-4533-b6d6-5f2343f575ed,llama-3.1-8b-instant,0,0.14149808630981725,0.22246514252837435
7b7d4a38-3eb3-4533-b6d6-5f2343f575ed,qwen/qwen3-32b,0,0.14502362633480234,0.24112809460252188
7b7d4a38-3eb3-4533-b6d6-5f2343f575ed,meta-llama/llama-4-scout-17b-16e-instruct,0,0.14207813849332218,0.21048672396643264
28baa581-f844-4331-988f-e49cd5b1eba4,llama-3.1-8b-instant,0,0.14430380435740836,0.2366024286282158
28baa581-f844-4331-988f-e49cd5b1eba4,qwen/qwen3-32b,0,0.1403489768521823,0.23182532445983264
28baa581-f844-4331-988f-e49cd5b1eba4,meta-llama/llama-4-scout-17b-16e-instruct,0,0.15256457053757794,0.2549623113874304
c179c138-0657-4eef-8c7f-1913d9e20c19,llama-3.1-8b-instant,0,0.16195120036022587,0.3180797558093411
c179c138-0657-4eef-8c7f-1913d9e20c19,qwen/qwen3-32b,0,0.15716664855105902,0.272746144150173
c179c138-0657-4eef-8c7f-1913d9e20c19,meta-llama/llama-4-scout-17b-16e-instruct,0,0.16587140195799616,0.27951933998720485
031a55d6-9adf-49e0-9d33-2722d01e58c8,llama-3.1-8b-instant,0,0.1498587780253269,0.24276736020929293
031a55d6-9adf-49e0-9d33-2722d01e58c8,qwen/qwen3-32b,0,0.1379360330396187,0.21685165686130944
031a55d6-9adf-49e0-9d33-2722d01e58c8,meta-llama/llama-4-scout-17b-16e-instruct,0,0.14276248262040578,0.2296826844224938
139561a5-92bd-4566-bee7-9ca55c83b5b0,llama-3.1-8b-instant,0,0.16027513124009649,0.3112212334693948
139561a5-92bd-4566-bee7-9ca55c83b5b0,qwen/qwen3-32b,0,0.1428850298675485,0.2279561591815917
139561a5-92bd-4566-bee7-9ca55c83b5b0,meta-llama/llama-4-scout-17b-16e-instruct,0,0.14820776782141257,0.2560833874082357
25df6693-5a59-417b-8365-6b858c081082,llama-3.1-8b-instant,0,0.14267185846393404,0.22741993872921434
